Loan_ID,Dependents,Credit_History,gender,maritalstatus,education,selfemployed,area,loanstatus,log_income,log_loanamt,log_loanterm
LP001002,0,1.0,1,0,0,0,2,1,8.674025985443025,4.852030263919617,5.886104031450156
LP001003,1,1.0,1,1,0,0,0,0,8.714567550836485,4.852030263919617,5.886104031450156
LP001005,0,1.0,1,1,0,1,2,1,8.006367567650246,4.189654742026425,5.886104031450156
LP001006,0,1.0,1,1,1,0,2,1,8.50532301884575,4.787491742782046,5.886104031450156
LP001008,0,1.0,1,0,0,0,2,1,8.699514748210191,4.948759890378168,5.886104031450156
LP001011,2,1.0,1,1,0,1,2,1,9.170871628065816,5.58724865840025,5.886104031450156
LP001013,0,1.0,1,1,1,0,2,1,8.255568653283746,4.553876891600541,5.886104031450156
LP001014,3,0.0,1,1,0,0,1,0,8.61974977974133,5.062595033026967,5.886104031450156
LP001018,2,1.0,1,1,0,0,2,1,8.61830469278465,5.123963979403259,5.886104031450156
LP001020,1,1.0,1,1,0,0,1,0,10.077818939438902,5.855071922202427,5.886104031450156
LP001024,2,1.0,1,1,0,0,2,1,8.268731832117737,4.248495242049359,5.886104031450156
LP001027,2,1.0,1,1,0,0,2,1,8.375629627094451,4.6913478822291435,5.886104031450156
LP001028,2,1.0,1,1,0,0,2,1,9.321792297270326,5.298317366548036,5.886104031450156
LP001029,0,1.0,1,0,0,0,0,0,8.453827315794417,4.736198448394496,5.886104031450156
LP001030,2,1.0,1,1,0,0,2,1,7.776954403322442,2.833213344056216,4.787491742782046
LP001032,0,1.0,1,0,0,0,2,1,8.507142855562735,4.8283137373023015,5.886104031450156
LP001034,1,1.0,1,0,1,0,2,1,8.18757739559151,4.605170185988092,5.480638923341991
LP001036,0,0.0,0,0,0,0,2,0,8.163371316459912,4.330733340286331,5.886104031450156
LP001038,0,1.0,1,1,1,0,0,0,8.494333897270154,4.890349128221754,5.886104031450156
LP001041,0,1.0,1,1,0,0,2,1,8.716044050161402,4.74493212836325,5.886104031450156
LP001043,0,0.0,1,1,1,0,2,0,8.943767262734637,4.6443908991413725,5.886104031450156
LP001046,1,1.0,1,1,0,0,2,1,9.357034751126987,5.752572638825633,5.886104031450156
LP001047,0,0.0,1,1,1,0,1,0,8.414274137408396,4.7535901911063645,5.886104031450156
LP001050,2,0.0,1,1,1,0,0,0,8.572060092857077,4.718498871295094,5.886104031450156
LP001052,1,0.0,1,1,0,0,1,0,8.801168401936692,5.017279836814924,5.886104031450156
LP001066,0,1.0,1,1,0,1,1,1,9.165343006045447,5.25227342804663,5.886104031450156
LP001068,0,1.0,1,1,0,0,1,1,8.527539483470381,4.804021044733257,5.886104031450156
LP001073,2,1.0,1,1,1,0,2,1,8.569026340056254,4.700480365792417,5.886104031450156
LP001086,0,1.0,1,0,1,0,2,0,7.273786317844895,3.5553480614894135,5.886104031450156
LP001087,2,1.0,0,0,0,0,1,1,8.671286726753637,4.787491742782046,5.886104031450156
LP001091,1,0.0,1,1,0,0,2,0,8.927314111060596,5.303304908059076,5.886104031450156
LP001095,0,1.0,1,0,0,0,2,0,8.06054004653864,4.30406509320417,5.886104031450156
LP001097,1,1.0,1,0,0,1,0,0,8.453614209773367,4.663439094112067,5.886104031450156
LP001098,0,1.0,1,1,0,0,1,1,8.550047528287184,4.736198448394496,5.886104031450156
LP001100,3,1.0,1,0,0,0,0,0,9.648595302907339,5.768320995793772,5.886104031450156
LP001106,0,1.0,1,1,0,0,2,1,8.376090350438238,4.852030263919617,5.886104031450156
LP001109,0,0.0,1,1,0,0,2,0,8.057694194815587,4.605170185988092,5.886104031450156
LP001112,0,1.0,0,1,0,0,1,1,8.542080906924017,4.969813299576001,5.886104031450156
